NOMBRE,PRESENTACIÓN,MONODROGA,LABORATORIO,VADEMÉCUM,FCIAS. PROPIAS,FCIAS. CONVENIDAS,OBSERV
CORTEROID,iny.f.a.x 1 x 2 ml,betametasona,Montpellier,PMI MADRE,100%,100%,Previa Inscripción al Plan
CORTEROID RETARD,iny.f.a.x 1 x 2 ml,betametasona (acet.y fosf.disod),Montpellier,AMBULATORIO UNIFICADO,50%,40%,
CORTEROID RETARD,iny.f.a.x 1 x 5 ml,betametasona (acet.y fosf.disod),Montpellier,AMBULATORIO UNIFICADO,50%,40%,
CORTEROID RETARD,iny.f.a.x 1 x 2 ml,betametasona (acet.y fosf.disod),Montpellier,PMI MADRE,100%,100%,Previa Inscripción al Plan
CORTEROID RETARD,iny.f.a.x 1 x 2 ml,betametasona (acet.y fosf.disod),Montpellier,AMBULATORIO UNIFICADO,50%,40%,
CORTEROID RETARD,iny.f.a.x 1 x 5 ml,betametasona (acet.y fosf.disod),Montpellier,AMBULATORIO UNIFICADO,50%,40%,
CORTEROID RETARD,iny.f.a.x 1 x 2 ml,betametasona (acet.y fosf.disod),Montpellier,PMI MADRE,100%,100%,Previa Inscripción al Plan
CORTICAS,gts.x 20 ml,betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS,iny.f.a.x 1 x 2 ml,betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS,0.6 mg comp.x 30,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,cr.x 20 g,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,gts.x 20 ml,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,gts.x 30 ml,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,iny.f.a.x 1 x 2 ml,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,1.2 mg comp.x 30,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,gts.x 20 ml,betametasona,Casasco,PMI HIJO,100%,100%,Previa Inscripción al Plan
CORTICAS,gts.x 30 ml,betametasona,Casasco,PMI HIJO,100%,100%,Previa Inscripción al Plan
CORTICAS,iny.f.a.x 1 x 2 ml,betametasona,Casasco,PMI MADRE,100%,100%,Previa Inscripción al Plan
CORTICAS,gts.x 20 ml,betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS,iny.f.a.x 1 x 2 ml,betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS,0.6 mg comp.x 30,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,cr.x 20 g,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,gts.x 20 ml,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,gts.x 30 ml,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,iny.f.a.x 1 x 2 ml,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,1.2 mg comp.x 30,betametasona,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS,gts.x 20 ml,betametasona,Casasco,PMI HIJO,100%,100%,Previa Inscripción al Plan
CORTICAS,gts.x 30 ml,betametasona,Casasco,PMI HIJO,100%,100%,Previa Inscripción al Plan
CORTICAS,iny.f.a.x 1 x 2 ml,betametasona,Casasco,PMI MADRE,100%,100%,Previa Inscripción al Plan
CORTICAS L,comp.x 10,loratadina+betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS L,sol.oral x 60 ml,loratadina+betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS L,comp.x 10,loratadina+betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS L,sol.oral x 60 ml,loratadina+betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS L UD,comp.x 10,loratadina+betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS L UD,comp.x 10,loratadina+betametasona,Casasco,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTICAS RETARD,iny.f.a.x 1 x 2 ml,betametasona (acet.y fosf.disod),Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS RETARD,iny.f.a.x 1 x 2 ml,betametasona (acet.y fosf.disod),Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS SALIC,ung.x 30 g,"betametasona+salicílico,ác.",Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICAS SALIC,ung.x 30 g,"betametasona+salicílico,ác.",Casasco,AMBULATORIO UNIFICADO,50%,40%,
CORTICOSAN,50 mg comp.x 30,losartán,Fabra,AMBULATORIO UNIFICADO,50%,40%,
CORTICOSAN,50 mg comp.x 30,losartán,Fabra,CRONICOS,70%,70%,
CORTICOSAN,50 mg comp.x 30,losartán,Fabra,AMBULATORIO UNIFICADO,50%,40%,
CORTICOSAN,50 mg comp.x 30,losartán,Fabra,CRONICOS,70%,70%,
CORTIPYREN B,4 mg comp.x 20,meprednisona,Gador,AMBULATORIO UNIFICADO,50%,40%,
CORTIPYREN B,40 mg comp.x 20,meprednisona,Gador,AMBULATORIO UNIFICADO,50%,40%,
CORTIPYREN B,8 mg comp.x 20,meprednisona,Gador,AMBULATORIO UNIFICADO,50%,40%,
CORTIPYREN B,4 mg comp.x 20,meprednisona,Gador,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CORTIPYREN B,40 mg comp.x 20,meprednisona,Gador,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CORTIPYREN B,8 mg comp.x 20,meprednisona,Gador,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CORTIPYREN B,4 mg comp.x 20,meprednisona,Gador,AMBULATORIO UNIFICADO,50%,40%,
CORTIPYREN B,40 mg comp.x 20,meprednisona,Gador,AMBULATORIO UNIFICADO,50%,40%,
CORTIPYREN B,8 mg comp.x 20,meprednisona,Gador,AMBULATORIO UNIFICADO,50%,40%,
CORTIPYREN B,4 mg comp.x 20,meprednisona,Gador,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CORTIPYREN B,40 mg comp.x 20,meprednisona,Gador,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CORTIPYREN B,8 mg comp.x 20,meprednisona,Gador,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CORTISTAMIN L,comp.x 10,loratadina+betametasona,Bagó,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORTISTAMIN L,comp.x 10,loratadina+betametasona,Bagó,AMBULATORIO COMPLEMENTARIO,45%,40%,
CORUBIN,12.5 mg comp.x 28,carvedilol,Lazar,AMBULATORIO UNIFICADO,50%,40%,
CORUBIN,25 mg comp.x 28,carvedilol,Lazar,AMBULATORIO UNIFICADO,50%,40%,
CORUBIN,6.25 mg comp.x 28,carvedilol,Lazar,AMBULATORIO UNIFICADO,50%,40%,
CORUBIN,12.5 mg comp.x 28,carvedilol,Lazar,CRONICOS,70%,70%,
CORUBIN,25 mg comp.x 28,carvedilol,Lazar,CRONICOS,70%,70%,
CORUBIN,6.25 mg comp.x 28,carvedilol,Lazar,CRONICOS,70%,70%,
CORUBIN,12.5 mg comp.x 28,carvedilol,Lazar,AMBULATORIO UNIFICADO,50%,40%,
CORUBIN,25 mg comp.x 28,carvedilol,Lazar,AMBULATORIO UNIFICADO,50%,40%,
CORUBIN,6.25 mg comp.x 28,carvedilol,Lazar,AMBULATORIO UNIFICADO,50%,40%,
CORUBIN,12.5 mg comp.x 28,carvedilol,Lazar,CRONICOS,70%,70%,
CORUBIN,25 mg comp.x 28,carvedilol,Lazar,CRONICOS,70%,70%,
CORUBIN,6.25 mg comp.x 28,carvedilol,Lazar,CRONICOS,70%,70%,
COSOPT,sol.oft.x 5 ml,dorzolamida+timolol,Mundipharma Ofta,AMBULATORIO UNIFICADO,50%,40%,
COSOPT,sol.oft.x 5 ml,dorzolamida+timolol,Mundipharma Ofta,CRONICOS,70%,70%,
COSOPT,sol.oft.x 5 ml,dorzolamida+timolol,Mundipharma Ofta,AMBULATORIO UNIFICADO,50%,40%,
COSOPT,sol.oft.x 5 ml,dorzolamida+timolol,Mundipharma Ofta,CRONICOS,70%,70%,
COTRIMOX,comp.x 20,sulfametoxazol+trimetoprima,Lepetit,AMBULATORIO UNIFICADO,50%,40%,
COTRIMOX,jbe.x 100 ml,sulfametoxazol+trimetoprima,Austral,AMBULATORIO UNIFICADO,50%,40%,
COTRIMOX,comp.x 20,sulfametoxazol+trimetoprima,Lepetit,AMBULATORIO UNIFICADO,50%,40%,
COTRIMOX,jbe.x 100 ml,sulfametoxazol+trimetoprima,Austral,AMBULATORIO UNIFICADO,50%,40%,
COTRIMOX FORTE,comp.x 10,sulfametoxazol+trimetoprima,Lepetit,AMBULATORIO UNIFICADO,50%,40%,
COTRIMOX FORTE,comp.x 10,sulfametoxazol+trimetoprima,Lepetit,AMBULATORIO UNIFICADO,50%,40%,
COVERFAX,10 mg comp.ran.x 28,escitalopram,Eurofarma,AMBULATORIO COMPLEMENTARIO,45%,40%,
COVERFAX,20 mg comp.ran.x 28,escitalopram,Eurofarma,AMBULATORIO COMPLEMENTARIO,45%,40%,
COVERFAX,10 mg comp.ran.x 28,escitalopram,Eurofarma,AMBULATORIO COMPLEMENTARIO,45%,40%,
COVERFAX,20 mg comp.ran.x 28,escitalopram,Eurofarma,AMBULATORIO COMPLEMENTARIO,45%,40%,
COZAAREX,100 mg comp.x 30,losartán,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX,50 mg comp.x 30,losartán,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX,100 mg comp.x 30,losartán,MSD Argentina,CRONICOS,70%,70%,
COZAAREX,50 mg comp.x 30,losartán,MSD Argentina,CRONICOS,70%,70%,
COZAAREX,100 mg comp.x 30,losartán,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX,50 mg comp.x 30,losartán,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX,100 mg comp.x 30,losartán,MSD Argentina,CRONICOS,70%,70%,
COZAAREX,50 mg comp.x 30,losartán,MSD Argentina,CRONICOS,70%,70%,
COZAAREX D,100/12.5 mg comp.x 30,losartán+hidroclorotiazida,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX D,100/25 mg comp.x 30,losartán+hidroclorotiazida,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX D,50/12.5 mg comp.x 30,losartán+hidroclorotiazida,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX D,100/12.5 mg comp.x 30,losartán+hidroclorotiazida,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX D,100/25 mg comp.x 30,losartán+hidroclorotiazida,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
COZAAREX D,50/12.5 mg comp.x 30,losartán+hidroclorotiazida,MSD Argentina,AMBULATORIO UNIFICADO,50%,40%,
CP ACNE DUO MULTIDOSIS,gel dosif. simult. x 30g,"clindamicina+benzoílo,peróxido",Pharmatrix,AMBULATORIO UNIFICADO,50%,40%,
CP ACNE DUO MULTIDOSIS,gel dosif. simult. x 30g,"clindamicina+benzoílo,peróxido",Pharmatrix,AMBULATORIO UNIFICADO,50%,40%,
CRADA,sol.oral x 2 ml,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blanda x 1,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blandas x 2,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blandas x 3,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blandas x 4,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,sol.oral x 2 ml,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blanda x 1,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blandas x 2,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blandas x 3,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRADA,cáps.blandas x 4,vit.d3,Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRAVENORM,1 mg comp.x 30,repaglinida,Craveri,DIABETES,100%,100%,
CRAVENORM,1 mg comp.x 30,repaglinida,Craveri,DIABETES,100%,100%,
CRAVERIL,comp.rec.x 30,fenofibrato micronizado,Craveri,AMBULATORIO UNIFICADO,50%,40%,
CRAVERIL,comp.rec.x 60,fenofibrato micronizado,Craveri,AMBULATORIO UNIFICADO,50%,40%,
CRAVERIL,comp.rec.x 30,fenofibrato micronizado,Craveri,AMBULATORIO UNIFICADO,50%,40%,
CRAVERIL,comp.rec.x 60,fenofibrato micronizado,Craveri,AMBULATORIO UNIFICADO,50%,40%,
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 120 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,AMBULATORIO UNIFICADO,50%,40%,
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 240 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,AMBULATORIO UNIFICADO,50%,40%,
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 90ml c/dosif.fant,"bismuto,hidróxido+pectina",Soubeiran Chobet,AMBULATORIO UNIFICADO,50%,40%,
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 120 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 240 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 90ml c/dosif.fant,"bismuto,hidróxido+pectina",Soubeiran Chobet,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 120 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,AMBULATORIO UNIFICADO,50%,40%,
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 240 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,AMBULATORIO UNIFICADO,50%,40%,
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 90ml c/dosif.fant,"bismuto,hidróxido+pectina",Soubeiran Chobet,AMBULATORIO UNIFICADO,50%,40%,
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 120 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 240 ml,"bismuto,hidróxido+pectina",Soubeiran Chobet,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CREMA DE BISMUTO CHOBET CON PECTINA,susp.x 90ml c/dosif.fant,"bismuto,hidróxido+pectina",Soubeiran Chobet,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
CREON 25000,cáps.x 100,enzimas digestivas,Abbott EPD,AMBULATORIO COMPLEMENTARIO,45%,40%,
CREON 25000,cáps.x 50,enzimas digestivas,Abbott EPD,AMBULATORIO COMPLEMENTARIO,45%,40%,
CREON 25000,cáps.x 100,enzimas digestivas,Abbott EPD,AMBULATORIO COMPLEMENTARIO,45%,40%,
CREON 25000,cáps.x 50,enzimas digestivas,Abbott EPD,AMBULATORIO COMPLEMENTARIO,45%,40%,
CREOSEDIN,3 mg comp.x 20,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CREOSEDIN,3 mg comp.x 50,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CREOSEDIN,6 mg comp.x 20,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CREOSEDIN,6 mg comp.x 50,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CREOSEDIN,3 mg comp.x 20,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CREOSEDIN,3 mg comp.x 50,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CREOSEDIN,6 mg comp.x 20,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CREOSEDIN,6 mg comp.x 50,bromazepam,Rontag,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,10 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,10 mg comp.x 56,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,20 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,20 mg comp.x 56,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,40 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,5 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,10 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,10 mg comp.x 56,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,20 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,20 mg comp.x 56,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,40 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,5 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,10 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,10 mg comp.x 56,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,20 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,20 mg comp.x 56,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,40 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,5 mg comp.x 28,rosuvastatina,AstraZeneca,AMBULATORIO UNIFICADO,50%,40%,
CRESTOR,10 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,10 mg comp.x 56,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,20 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,20 mg comp.x 56,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,40 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRESTOR,5 mg comp.x 28,rosuvastatina,AstraZeneca,CRONICOS,70%,70%,
CRIALIX,10 mg comp.rec.x 30,donepecilo,Investi,AMBULATORIO UNIFICADO,50%,40%,
CRIALIX,5 mg comp.rec.x 30,donepecilo,Investi,AMBULATORIO UNIFICADO,50%,40%,
CRIALIX,10 mg comp.rec.x 30,donepecilo,Siegfried,CRONICOS,70%,70%,
CRIALIX,5 mg comp.rec.x 30,donepecilo,Siegfried,CRONICOS,70%,70%,
CRIALIX,10 mg comp.rec.x 30,donepecilo,Investi,AMBULATORIO UNIFICADO,50%,40%,
CRIALIX,5 mg comp.rec.x 30,donepecilo,Investi,AMBULATORIO UNIFICADO,50%,40%,
CRIALIX,10 mg comp.rec.x 30,donepecilo,Siegfried,CRONICOS,70%,70%,
CRIALIX,5 mg comp.rec.x 30,donepecilo,Siegfried,CRONICOS,70%,70%,
CRISPLUS,120 mg caps.x 30,orlistat,Elea,CRONICOS,70%,70%,
CRISPLUS,60 mg caps.x 30,orlistat,Elea,CRONICOS,70%,70%,
CRISPLUS,120 mg caps.x 30,orlistat,Elea,CRONICOS,70%,70%,
CRISPLUS,60 mg caps.x 30,orlistat,Elea,CRONICOS,70%,70%,
CRISTACLAR,10 mg comp.rec.x 30,donepecilo,Beta,AMBULATORIO UNIFICADO,50%,40%,
CRISTACLAR,5 mg comp.rec.x 30,donepecilo,Beta,AMBULATORIO UNIFICADO,50%,40%,
CRISTACLAR,10 mg comp.rec.x 30,donepecilo,Beta,CRONICOS,70%,70%,
CRISTACLAR,5 mg comp.rec.x 30,donepecilo,Beta,CRONICOS,70%,70%,
CRISTACLAR,10 mg comp.rec.x 30,donepecilo,Beta,AMBULATORIO UNIFICADO,50%,40%,
CRISTACLAR,5 mg comp.rec.x 30,donepecilo,Beta,AMBULATORIO UNIFICADO,50%,40%,
CRISTACLAR,10 mg comp.rec.x 30,donepecilo,Beta,CRONICOS,70%,70%,
CRISTACLAR,5 mg comp.rec.x 30,donepecilo,Beta,CRONICOS,70%,70%,
CRONO CORTICAS,susp.iny.f.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRONO CORTICAS,susp.iny.f.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Casasco,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONO CORTICAS,susp.iny.f.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Casasco,AMBULATORIO UNIFICADO,50%,40%,
CRONO CORTICAS,susp.iny.f.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Casasco,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONOBETACORT,susp.iny.f.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Medisol,AMBULATORIO UNIFICADO,50%,40%,
CRONOBETACORT,susp.iny.f.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Medisol,AMBULATORIO UNIFICADO,50%,40%,
CRONOCORTEROID,iny.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Montpellier,AMBULATORIO UNIFICADO,50%,40%,
CRONOCORTEROID,iny.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Montpellier,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONOCORTEROID,iny.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Montpellier,AMBULATORIO UNIFICADO,50%,40%,
CRONOCORTEROID,iny.a.x 1 x 2 ml,betametasona (diprop.y f.disod.),Montpellier,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONODICASONE,f.a.x 1 x 2 ml + jga.,betametasona (acet.y fosf.disod),Baliarda,AMBULATORIO UNIFICADO,50%,40%,
CRONODICASONE,f.a.x 1 x 2 ml + jga.,betametasona (acet.y fosf.disod),Baliarda,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONODICASONE,f.a.x 1 x 2 ml + jga.,betametasona (acet.y fosf.disod),Baliarda,AMBULATORIO UNIFICADO,50%,40%,
CRONODICASONE,f.a.x 1 x 2 ml + jga.,betametasona (acet.y fosf.disod),Baliarda,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONODICASONE DEPOT,f.a.x 1 x 2 ml + jga.,betametasona (diprop.y f.disod.),Baliarda,AMBULATORIO UNIFICADO,50%,40%,
CRONODICASONE DEPOT,f.a.x 1 x 2 ml + jga.,betametasona (diprop.y f.disod.),Baliarda,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONODICASONE DEPOT,f.a.x 1 x 2 ml + jga.,betametasona (diprop.y f.disod.),Baliarda,AMBULATORIO UNIFICADO,50%,40%,
CRONODICASONE DEPOT,f.a.x 1 x 2 ml + jga.,betametasona (diprop.y f.disod.),Baliarda,PMI MADRE,100%,100%,Previa Inscripción al Plan
CRONOPEN,500 mg comp.rec.x 3,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,500 mg comp.rec.x 5,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,500 mg comp.rec.x 6,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,susp.x 15 ml,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,susp.x 30 ml,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,500 mg comp.rec.x 3,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,500 mg comp.rec.x 5,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,500 mg comp.rec.x 6,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,susp.x 15 ml,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN,susp.x 30 ml,azitromicina,Elea,AMBULATORIO UNIFICADO,50%,40%,
CRONOPEN BALSAMICO,Ad.iny.f.a.x 2/2 x 5 ml,ampicilina+asoc.,Elea,AMBULATORIO COMPLEMENTARIO,45%,40%,
CRONOPEN BALSAMICO,Ad.iny.f.a.x 4/4 x 5 ml,ampicilina+asoc.,Elea,AMBULATORIO COMPLEMENTARIO,45%,40%,
CRONOPEN BALSAMICO,Ad.iny.f.a.x 2/2 x 5 ml,ampicilina+asoc.,Elea,AMBULATORIO COMPLEMENTARIO,45%,40%,
CRONOPEN BALSAMICO,Ad.iny.f.a.x 4/4 x 5 ml,ampicilina+asoc.,Elea,AMBULATORIO COMPLEMENTARIO,45%,40%,
CRUZAL 20,jga.prell.x 2 ml+aguja,"hialurónico,ác.",Finadiet,AMBULATORIO COMPLEMENTARIO,45%,40%,
CRUZAL 20,jga.prell.x 2 ml+aguja,"hialurónico,ác.",Finadiet,AMBULATORIO COMPLEMENTARIO,45%,40%,
CRUZAL 40,jga.prell.x 2 ml+aguja,"hialurónico,ác.",Finadiet,AMBULATORIO COMPLEMENTARIO,45%,40%,
CRUZAL 40,jga.prell.x 2 ml+aguja,"hialurónico,ác.",Finadiet,AMBULATORIO COMPLEMENTARIO,45%,40%,
CUADEL,10 mg comp.x 20,diazepam,Cetus,AMBULATORIO UNIFICADO,50%,40%,
CUADEL,5 mg comp.x 20,diazepam,Cetus,AMBULATORIO UNIFICADO,50%,40%,
CUADEL,10 mg comp.x 20,diazepam,Cetus,AMBULATORIO UNIFICADO,50%,40%,
CUADEL,5 mg comp.x 20,diazepam,Cetus,AMBULATORIO UNIFICADO,50%,40%,
CUAIT TRIFLUOPERAZINA,10 mg comp.x 30,trifluoperazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
CUAIT TRIFLUOPERAZINA,5 mg comp.x 30,trifluoperazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
CUAIT TRIFLUOPERAZINA,10 mg comp.x 30,trifluoperazina,Ariston,CRONICOS,70%,70%,
CUAIT TRIFLUOPERAZINA,5 mg comp.x 30,trifluoperazina,Ariston,CRONICOS,70%,70%,
CUAIT TRIFLUOPERAZINA,10 mg comp.x 30,trifluoperazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
CUAIT TRIFLUOPERAZINA,5 mg comp.x 30,trifluoperazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
CUAIT TRIFLUOPERAZINA,10 mg comp.x 30,trifluoperazina,Ariston,CRONICOS,70%,70%,
CUAIT TRIFLUOPERAZINA,5 mg comp.x 30,trifluoperazina,Ariston,CRONICOS,70%,70%,
